Rechecked.By,Incident.Date,State,City.Or.County,Address,Outcome,Participant.Name,Participant.Gender,Response.Type,Detail,News.Source
Nadia,2020-05-31T00:00:00Z,New York,Bronx,2976 Lawton Ave,Killed,Officer Amy Fantauzzi,female,Others,"Suicide: ""An off-duty cop committed suicide by shooting herself""",https://www.nydailynews.com/new-york/ny-off-duty-nypd-cop-commits-suicide-bronx-home-20200531-iynsy5zozfcv3j2bakek6ghhxm-story.html
Nadia,2023-02-07T00:00:00Z,New York,Bronx,4111 Laconia Ave,Injured,Officer,male,Others,"Suicide: ""An NYPD cop shot himself in the face""",https://www.nydailynews.com/new-york/nyc-crime/ny-bronx-nypd-cop-shoots-himself-suicide-attempt-20230207-nzqlplrf5bbjngdrmhmul7pea4-story.html
Nadia,2023-01-17T00:00:00Z,New York,Bronx,E 183rd St and Prospect Ave,Injured,Ofc. Paul Lee,male,Police Self-transfer,"""It was Martinez who pulled Lee into their squad car and rushed him""",https://bronx.news12.com/officer-struck-by-gunfire-in-the-bronx-in-stable-condition
Nadia,2021-07-30T00:00:00Z,New York,Bronx,Lyman Place and East 169th St,Injured,Lt,male,Police Self-transfer,There is an NYPD EMS vehicle in the video. We count this as a police self-transfer.,https://www.bxtimes.com/nypd-lieutenant-shot-in-the-bronx-during-struggle-with-armed-gang-member/
Nadia,2021-01-26T00:00:00Z,New York,Bronx,Lafayette Ave and White Plains Rd,Injured,Officer Daniel Vargas,male,Police Self-transfer,"""He was taken to Jacobi Hospital by his fellow police officers,""",https://www.nydailynews.com/new-york/nyc-crime/ny-police-officer-shot-bronx-20210127-kahw4q6ncbgthmqyhkuf773wza-story.html
Nadia,2020-12-04T00:00:00Z,New York,Bronx,4085 Ely Ave,Injured,Deputy Marshal Bill Dundon,male,Police Self-transfer,"0:55 in the video, ""two wounded ...... being carried into police vehicle to be rushed to hospital""",https://www.nbcnewyork.com/news/local/nyc-man-charged-with-harboring-fugitive-that-led-to-u-s-marshals-shooting-feds/2765203/
Nadia,2020-12-04T00:00:00Z,New York,Bronx,4085 Ely Ave,Injured,Deputy Marshal Eric Harrison,male,Police Self-transfer,"0:55 in the video, ""two wounded ...... being carried into police vehicle to be rushed to hospital""",https://www.nbcnewyork.com/news/local/nyc-man-charged-with-harboring-fugitive-that-led-to-u-s-marshals-shooting-feds/2765203/
Nadia,2020-02-09T00:00:00Z,New York,Bronx,1035 Longwood Ave,Injured,Lt Jose Gautreaux,male,Police Self-transfer,Stroffolino miraculously escaped grave injuries after Hanlon and other officers rushed him to the hospital.,https://nypost.com/2023/10/20/bronx-cop-shooter-robert-williams-sentenced-to-23-years-to-life/
Nadia,2020-02-08T00:00:00Z,New York,Bronx,906 Simpson St,Injured,Ofc Paul Stroffolino,male,Police Self-transfer,"""and the partner drove the van to Lincoln Hospital.""",https://www.nydailynews.com/2020/02/08/attempt-to-assassinate-police-officers-wounds-one-of-two-uniformed-cops-sitting-in-nypd-van-in-the-bronx/
Nadia,2019-09-29T00:00:00Z,New York,Bronx,1145 E 229th St,Killed,Officer Brian Mulkeen,male,Police Self-transfer,There is an NYPD EMS vehicle in the video. We count this as a police self-transfer.,https://abc7ny.com/bronx-police-officer-shot-shooting-edenwald/5576357/
Nadia,2019-07-24T00:00:00Z,New York,Bronx,Rodman's Neck Rd,Injured,N/A,male,Ambulance,"""Paramedics rushed the agent to Jacobi Medical Center and he was expected to survive.""",https://nypost.com/2019/07/24/homeland-security-agent-shoots-himself-in-leg-at-gun-range/
Nadia,2018-07-21T00:00:00Z,New York,Bronx,Sedgwick Avenue and West 183rd St,Injured,Officer,male,Unknown,not seeing evidence of ambulance or police transfer.,https://pix11.com/news/off-duty-cop-accidentally-shoots-himself-after-collision-assault-in-the-bronx/
Nadia,2022-05-10T00:00:00Z,New York,Bronx,Claremont Pkwy and Bathgate Ave,Injured,Officer Dennis Vargas,male,Police Self-transfer,not seeing evidence of ambulance or police transfer.,https://abc7ny.com/bronx-officer-shot-nypd-in-the/11836204/
Nadia,2021-05-12T00:00:00Z,New York,Brooklyn,Macon St and Howard Ave,Injured,Ofc. Brian McGurran,male,Ambulance,"""""The EMTs lifted him up and put him on a gurney,” he recounted of McGurran.""",https://www.nydailynews.com/new-york/nyc-crime/ny-police-officer-shot-brooklyn-20210513-ztkvcmp3ljathnjvnuyr3klc4m-story.html
Nadia,2021-03-07T00:00:00Z,New York,Brooklyn,42 Hawthorne St,Injured,Officer Jonathan Landro,male,Ambulance,ambulances were at barricade before the shooting,https://abc7ny.com/nypd-officers-shot-cops-in-brooklyn-shooting-shots-fired-at-police/10396462/
Nadia,2021-03-07T00:00:00Z,New York,Brooklyn,42 Hawthorne St,Injured,Officer Robert Aviles,male,Ambulance,ambulances were at barricade before the shooting,https://abc7ny.com/nypd-officers-shot-cops-in-brooklyn-shooting-shots-fired-at-police/10396462/
Nadia,2018-12-13T00:00:00Z,New York,Brooklyn,2860 W 23rd St,Injured,Officer,male,Ambulance,Medics rushed him,https://www.nydailynews.com/new-york/ny-metro-brooklyn-police-officer-shoots-self-in-hand-20181214-story.html
Jessy,2018-12-08T00:00:00Z,New York,Brooklyn,9302 Ave N,Injured,Agent Christopher Harper,male,Ambulance,Medics took the agent to Kings County Hospital.,https://www.nydailynews.com/new-york/nyc-crime/ny-metro-police-involved-shooting-canarsie-20181208-story.html
Nadia,2019-06-06T00:00:00Z,New York,Brooklyn,Belt Pkwy,Killed,Det. Joseph Calabrese,male,Others,Suicide,https://www.nydailynews.com/new-york/nyc-crime/ny-massive-search-for-missing-cop-underway-in-brooklyn-20190606-544vyw3ruvaehf2sl6q6zhgbsm-story.html
Nadia,2022-12-21T00:00:00Z,New York,Brooklyn,277 Gates Ave,Injured,Officer Orlando Adorno,male,Police Self-transfer,"""Meanwhile officer Adorno was transported to Kings County Hospital in a police cruiser.""",https://abc7ny.com/officer-shot-nypd-shooting-gun-violence/12597207/
Nadia,2021-09-18T00:00:00Z,New York,Brooklyn,1440 Utica Ave,Injured,N/A,male,Unknown,not seeing evidence of ambulance or police transfer.,https://www.nydailynews.com/new-york/nyc-crime/ny-brooklyn-nightclub-fatal-shootout-mugger-us-park-police-officer-20210921-yipf5fazcnfybb6vqviejwyt4m-story.html
Nadia,2020-12-24T00:00:00Z,New York,Brooklyn,1798 Bergen St,Injured,Officer Connor Boalick,male,Police Self-transfer,video of NYPD van arriving at hospital,https://pix11.com/news/local-news/brooklyn/nypd-cop-shot-in-the-back-is-home-for-the-holiday-after-christmas-miracle/
Nadia,2019-07-05T00:00:00Z,New York,Brooklyn,130 3rd Ave,Injured,N/A,male,Police Self-transfer,"most likely a self transport, but I'm not seeing definitive evidence.",https://www.nydailynews.com/new-york/nyc-crime/ny-brooklyn-cop-accidentally-shot-20190706-bowkm5edlrgdjo3qbrzhoodsu4-story.html
Nadia,2018-07-06T00:00:00Z,New York,Brooklyn,Decatur St and Tompkins Ave,Injured,Officer Miguel Soto,male,Police Self-transfer,"Soto was taken in a police cruiser to Kings County Hospital,",https://nypost.com/2018/07/06/nypd-detective-shot-in-leg-while-attempting-to-serve-warrant/
Nadia,2020-06-03T00:00:00Z,New York,Brooklyn,Church Ave and Flatbush Ave,Injured,Officer Dexter Chiu,male,Unknown,not seeing evidence of ambulance or police transfer.,https://www.nydailynews.com/2020/06/04/man-who-slashed-brooklyn-cop-in-neck-probed-for-terror-links-sources/
Nadia,2020-06-03T00:00:00Z,New York,Brooklyn,Church Ave and Flatbush Ave,Injured,Officer Randy Ramnarine,male,Unknown,not seeing evidence of ambulance or police transfer.,https://www.nydailynews.com/2020/06/04/man-who-slashed-brooklyn-cop-in-neck-probed-for-terror-links-sources/
Nadia,2024-01-16T00:00:00Z,New York,Brooklyn,1969 Bergen St,Injured,Officer,male,Unknown,not seeing evidence of ambulance or police transfer.,
Nadia,2024-01-16T00:00:00Z,New York,Brooklyn,1969 Bergen St,Injured,Officer,male,Unknown,not seeing evidence of ambulance or police transfer.,
Jessy,2024-04-29T00:00:00Z,North Carolina,Charlotte,5525 Galway Dr,Injured,Cpl Casey Hoover,male,Ambulance,"While there was a stand-off, the medics arrive, as evident in the second video. We also see other officers assisting the injured officer to the ambulance vehicle",https://www.cbs17.com/news/north-carolina-news/several-law-enforcement-officers-struck-by-gunfire-in-east-charlotte-roads-shut-down/
Jessy,2024-04-29T00:00:00Z,North Carolina,Charlotte,5525 Galway Dr,Injured,Officer Christopher Tolley,male,Ambulance,"While there was a stand-off, the medics arrive, as evident in the second video. We also see other officers assisting the injured officer to the ambulance vehicle",https://www.cbs17.com/news/north-carolina-news/several-law-enforcement-officers-struck-by-gunfire-in-east-charlotte-roads-shut-down/
Jessy,2024-04-29T00:00:00Z,North Carolina,Charlotte,5525 Galway Dr,Injured,Officer Michael Giglio,male,Ambulance,"While there was a stand-off, the medics arrive, as evident in the second video. We also see other officers assisting the injured officer to the ambulance vehicle",https://www.cbs17.com/news/north-carolina-news/several-law-enforcement-officers-struck-by-gunfire-in-east-charlotte-roads-shut-down/
Jessy,2024-04-29T00:00:00Z,North Carolina,Charlotte,5525 Galway Dr,Injured,Officer Jack Blowers,male,Ambulance,"While there was a stand-off, the medics arrive, as evident in the second video. We also see other officers assisting the injured officer to the ambulance vehicle",https://www.cbs17.com/news/north-carolina-news/several-law-enforcement-officers-struck-by-gunfire-in-east-charlotte-roads-shut-down/
Jessy,2024-04-29T00:00:00Z,North Carolina,Charlotte,5525 Galway Dr,Killed,Marshal Thomas Weeks,N/A,Others,Killed at the scene.,https://www.odmp.org/officer/27032-deputy-us-marshal-thomas-m-weeks
Jessy,2024-04-29T00:00:00Z,North Carolina,Charlotte,5525 Galway Dr,Killed,Officer Sam Poloche,male,Others,Killed at the scene.,https://www.odmp.org/officer/27032-deputy-us-marshal-thomas-m-weeks
Jessy,2024-04-29T00:00:00Z,North Carolina,Charlotte,5525 Galway Dr,Killed,Officer William Alden Elliott,male,Others,Killed at the scene.,https://www.odmp.org/officer/27032-deputy-us-marshal-thomas-m-weeks
Jessy,2024-04-29T00:00:00Z,North Carolina,Charlotte,5525 Galway Dr,Killed,Officer Joshua Eyer,male,Ambulance,"While there was a stand-off, the medics arrive, as evident in the second video. We also see other officers assisting the injured officer to the ambulance vehicle",https://www.cbs17.com/news/north-carolina-news/several-law-enforcement-officers-struck-by-gunfire-in-east-charlotte-roads-shut-down/
